trace_name,station,true_s_sample,raw_s_peak_count,max_s_sample,max_s_probability,nearest_raw_s_sample,nearest_raw_s_probability,nearest_raw_s_error_samples,nearest_raw_s_abs_error_s,nearest_raw_s_within_near_samples,normal_picker_s_sample,normal_picker_s_error_samples,normal_picker_s_abs_error_s
KEV.HE_20250208130735_HH_EV,KEV,5076,0,0,0.00017693638801574707,,,,,False,,,
KEF.HE_20250220135600_HH_EV,KEF,3081,0,0,8.407235145568848e-05,,,,,False,,,
KAF.HE_20250224202235_HH_EV,KAF,3208,0,0,8.922815322875977e-05,,,,,False,,,
VRF.HE_20250224060551_HH_EV,VRF,3433,0,0,5.760788917541504e-05,,,,,False,,,
NUR.HE_20250120113756_HH_EV,NUR,1007,0,1439,0.0007646679878234863,,,,,False,,,
KUNI.HE_20250129113203_HH_EV,KUNI,4614,0,4663,0.0014837682247161865,,,,,False,,,
KLF.FN_20250206090233_HH_EV,KLF,4123,0,0,7.471442222595215e-05,,,,,False,,,
RANF.FN_20250228131517_HH_EV,RANF,5186,0,0,0.00022706389427185059,,,,,False,,,
ALAJF.HE_20250204125949_HH_EV,ALAJF,3358,0,0,7.072091102600098e-05,,,,,False,,,
NUR.HE_20250226130021_HH_EV,NUR,1972,1,1963,0.34623652696609497,1963,0.34623652696609497,9,0.09,True,1963,9,0.09
KIF.HE_20250226122055_HH_EV,KIF,5022,0,0,0.00010502338409423828,,,,,False,,,
KEV.HE_20250215162207_HH_EV,KEV,4103,0,0,7.870793342590332e-05,,,,,False,,,
RNF.FN_20250103202953_HH_EV,RNF,5184,0,0,9.638071060180664e-05,,,,,False,,,
RANF.FN_20250221131234_HH_EV,RANF,4262,0,0,7.94529914855957e-05,,,,,False,,,
KAF.HE_20250115130000_HH_EV,KAF,3828,0,0,9.837746620178223e-05,,,,,False,,,
HEL5.HE_20250213150732_HH_EV,HEL5,4565,1,4574,0.4958469867706299,4574,0.4958469867706299,-9,0.09,True,4574,-9,0.09
FIA0.HE_20250123115158_HH_EV,FIA0,3579,0,5967,0.0007856786251068115,,,,,False,,,
KPF.HE_20250123120422_HH_EV,KPF,2966,0,0,6.154179573059082e-05,,,,,False,,,
HEL1.HE_20250224154202_HH_EV,HEL1,2499,0,2511,0.0052325427532196045,,,,,False,,,
HEL5.HE_20250131125610_HH_EV,HEL5,4675,0,4776,0.004863053560256958,,,,,False,,,
LAUT.HE_20250214122606_HH_EV,LAUT,1409,0,1421,0.006461381912231445,,,,,False,,,
OUL.FN_20250227120422_HH_EV,OUL,4336,0,0,6.890296936035156e-05,,,,,False,,,
FIA0.HE_20250207121735_HH_EV,FIA0,1829,0,0,0.00016859173774719238,,,,,False,,,
KUNI.HE_20250127124307_HH_EV,KUNI,4851,0,0,8.761882781982422e-05,,,,,False,,,
NUR.HE_20250211091442_HH_EV,NUR,3501,0,3492,0.0011071860790252686,,,,,False,,,
KU6.HE_20250225235435_HH_EV,KU6,4596,0,0,0.00013881921768188477,,,,,False,,,
OBF8.HE_20250103123029_HH_EV,OBF8,3842,2,4094,0.1452997624874115,4038,0.10516247153282166,-196,1.96,False,4038,-196,1.96
RAJF.FN_20250104131536_HH_EV,RAJF,4030,0,0,6.23166561126709e-05,,,,,False,,,
VJF.HE_20250122090228_HH_EV,VJF,1938,0,1963,0.005358308553695679,,,,,False,,,
SUF.HE_20250220073008_HH_EV,SUF,3208,0,0,8.618831634521484e-05,,,,,False,,,
RANF.FN_20250123113357_HH_EV,RANF,4470,0,4365,0.065439373254776,,,,,False,,,
OBF0.HE_20250110090242_HH_EV,OBF0,4659,0,4809,0.0003746151924133301,,,,,False,,,
OBF3.HE_20250116112432_HH_EV,OBF3,3332,0,0,8.037686347961426e-05,,,,,False,,,
VRF.HE_20250209160622_HH_EV,VRF,4282,0,0,9.974837303161621e-05,,,,,False,,,
JOF.HE_20250121121852_HH_EV,JOF,4807,0,0,6.99460506439209e-05,,,,,False,,,
KEF.HE_20250227123617_HH_EV,KEF,4798,0,0,0.00025209784507751465,,,,,False,,,
VJF.HE_20250124115346_HH_EV,VJF,3590,0,0,0.00011730194091796875,,,,,False,,,
OLKF.FN_20250113123027_HH_EV,OLKF,4428,0,0,4.985928535461426e-05,,,,,False,,,
KEV.HE_20250125102553_HH_EV,KEV,4876,0,0,5.3554773330688477e-05,,,,,False,,,
RAF.HE_20250116110700_HH_EV,RAF,3515,0,0,7.718801498413086e-05,,,,,False,,,
KIF.HE_20250122045310_HH_EV,KIF,5393,0,0,5.269050598144531e-05,,,,,False,,,
KAF.HE_20250225134836_HH_EV,KAF,4284,0,0,9.390711784362793e-05,,,,,False,,,
HEL5.HE_20250220155542_HH_EV,HEL5,2363,0,2365,0.006382465362548828,,,,,False,,,
OUF.HE_20250212103916_HH_EV,OUF,3633,0,0,0.00011786818504333496,,,,,False,,,
VUOS.HE_20250214122559_HH_EV,VUOS,2571,0,0,7.838010787963867e-05,,,,,False,,,
TVF.HE_20250108104252_HH_EV,TVF,3548,0,0,6.693601608276367e-05,,,,,False,,,
FIA0.HE_20250123111528_HH_EV,FIA0,3578,0,3641,9.644031524658203e-05,,,,,False,,,
KEF.HE_20250224114555_HH_EV,KEF,4475,0,4547,0.0011050403118133545,,,,,False,,,
KLF.FN_20250203130747_HH_EV,KLF,4640,0,0,0.0001379847526550293,,,,,False,,,
KLF.FN_20250120230521_HH_EV,KLF,4681,0,0,8.869171142578125e-05,,,,,False,,,
KEF.HE_20250225101021_HH_EV,KEF,5452,0,0,6.797909736633301e-05,,,,,False,,,
RMF.HE_20250227121059_HH_EV,RMF,4427,0,0,5.263090133666992e-05,,,,,False,,,
KPF.HE_20250220093309_HH_EV,KPF,1796,0,0,5.97834587097168e-05,,,,,False,,,
KPF.HE_20250122111111_HH_EV,KPF,3739,0,3769,0.00029274821281433105,,,,,False,,,
HEL1.HE_20250114135955_HH_EV,HEL1,2734,0,0,6.470084190368652e-05,,,,,False,,,
KEV.HE_20250216044106_HH_EV,KEV,3689,0,0,5.939602851867676e-05,,,,,False,,,
RUF.HE_20250213123534_HH_EV,RUF,3651,0,0,7.793307304382324e-05,,,,,False,,,
MEF.HE_20250128152959_HH_EV,MEF,5181,0,0,7.081031799316406e-05,,,,,False,,,
RAJF.FN_20250215201728_HH_EV,RAJF,4395,0,0,5.269050598144531e-05,,,,,False,,,
OLKF.FN_20250224114635_HH_EV,OLKF,5121,0,0,9.325146675109863e-05,,,,,False,,,
KPF.HE_20250130143033_HH_EV,KPF,4322,0,0,7.11977481842041e-05,,,,,False,,,
MEF.HE_20250224154155_HH_EV,MEF,3006,0,3012,0.011692136526107788,,,,,False,,,
KEF.HE_20250220121351_HH_EV,KEF,3909,0,0,9.468197822570801e-05,,,,,False,,,
KEF.HE_20250129131421_HH_EV,KEF,3984,0,0,7.876753807067871e-05,,,,,False,,,
FIA0.HE_20250116115006_HH_EV,FIA0,3694,0,0,7.75754451751709e-05,,,,,False,,,
KEF.HE_20250114112559_HH_EV,KEF,4256,0,0,0.00013235211372375488,,,,,False,,,
OBF3.HE_20250122142437_HH_EV,OBF3,3434,0,3431,0.009583324193954468,,,,,False,,,
VUOS.HE_20250226152954_HH_EV,VUOS,1905,0,0,9.021162986755371e-05,,,,,False,,,
HEF.HE_20250124104820_HH_EV,HEF,3460,0,0,8.854269981384277e-05,,,,,False,,,
FIA1.HE_20250122122759_HH_EV,FIA1,3060,0,0,6.034970283508301e-05,,,,,False,,,
HEF.HE_20250108121001_HH_EV,HEF,4412,0,0,4.550814628601074e-05,,,,,False,,,
RAJF.FN_20250122045302_HH_EV,RAJF,3827,0,0,6.750226020812988e-05,,,,,False,,,
KEF.HE_20250221162614_HH_EV,KEF,3143,0,0,4.0531158447265625e-05,,,,,False,,,
OUL.FN_20250104131544_HH_EV,OUL,4458,0,0,6.246566772460938e-05,,,,,False,,,
RANF.FN_20250114112634_HH_EV,RANF,4253,0,0,0.00014415383338928223,,,,,False,,,
TOF.HE_20250219124452_HH_EV,TOF,4312,0,0,0.00010070204734802246,,,,,False,,,
KAF.HE_20250114112555_HH_EV,KAF,3751,0,0,4.824995994567871e-05,,,,,False,,,
VRF.HE_20250128201310_HH_EV,VRF,4462,0,0,0.00012546777725219727,,,,,False,,,
TOF.HE_20250116120544_HH_EV,TOF,4706,0,0,0.00010687112808227539,,,,,False,,,
OBF0.HE_20250102115057_HH_EV,OBF0,4472,0,4515,0.002237647771835327,,,,,False,,,
VRF.HE_20250228124326_HH_EV,VRF,5496,0,0,7.495284080505371e-05,,,,,False,,,
VAF.HE_20250116115021_HH_EV,VAF,4095,0,0,0.00010442733764648438,,,,,False,,,
VJF.HE_20250204113422_HH_EV,VJF,2092,0,0,6.765127182006836e-05,,,,,False,,,
LAUT.HE_20250226125956_HH_EV,LAUT,4210,0,4285,0.019013822078704834,,,,,False,,,
OBF3.HE_20250219134122_HH_EV,OBF3,2680,1,3154,0.1384984850883484,3154,0.1384984850883484,-474,4.74,False,3154,-474,4.74
SUF.HE_20250206105914_HH_EV,SUF,5049,0,0,8.359551429748535e-05,,,,,False,,,
KEV.HE_20250217200548_HH_EV,KEV,4933,0,0,0.00015914440155029297,,,,,False,,,
OBF3.HE_20250220150705_HH_EV,OBF3,5454,0,0,0.00011837482452392578,,,,,False,,,
OUL.FN_20250131091909_HH_EV,OUL,3458,0,0,6.937980651855469e-05,,,,,False,,,
HEL5.HE_20250226124016_HH_EV,HEL5,3492,1,3489,0.187942236661911,3489,0.187942236661911,3,0.03,True,3489,3,0.03
TVF.HE_20250103120404_HH_EV,TVF,2059,0,0,0.00013303756713867188,,,,,False,,,
VJF.HE_20250130143812_HH_EV,VJF,3470,0,0,8.779764175415039e-05,,,,,False,,,
KEV.HE_20250222200935_HH_EV,KEV,4575,0,0,0.00012955069541931152,,,,,False,,,
KEV.HE_20250223160041_HH_EV,KEV,5206,0,0,7.110834121704102e-05,,,,,False,,,
VAF.HE_20250110115206_HH_EV,VAF,4167,1,4222,0.21769461035728455,4222,0.21769461035728455,-55,0.55,False,4222,-55,0.55
KU6.HE_20250218202503_HH_EV,KU6,5437,0,0,0.00011247396469116211,,,,,False,,,
HEF.HE_20250225235508_HH_EV,HEF,5040,0,0,0.00011116266250610352,,,,,False,,,
SUF.HE_20250122083132_HH_EV,SUF,4802,0,4843,0.0002205967903137207,,,,,False,,,
FIA0.HE_20250114113734_HH_EV,FIA0,4884,0,0,7.680058479309082e-05,,,,,False,,,
KEV.HE_20250205120014_HH_EV,KEV,4764,0,0,6.666779518127441e-05,,,,,False,,,
KEF.HE_20250128102522_HH_EV,KEF,3457,0,0,4.2498111724853516e-05,,,,,False,,,
OBF8.HE_20250206115542_HH_EV,OBF8,2864,0,0,7.364153861999512e-05,,,,,False,,,
KU6.HE_20250228131550_HH_EV,KU6,4766,0,0,5.805492401123047e-05,,,,,False,,,
AAL.UP_20250211142644_HH_EV,AAL,3568,0,0,9.66787338256836e-05,,,,,False,,,
TOF.HE_20250221131943_HH_EV,TOF,5116,0,0,0.00011387467384338379,,,,,False,,,
RANF.FN_20250130130325_HH_EV,RANF,4675,0,0,7.593631744384766e-05,,,,,False,,,
