trace_name,station,true_s_sample,raw_s_peak_count,max_s_sample,max_s_probability,nearest_raw_s_sample,nearest_raw_s_probability,nearest_raw_s_error_samples,nearest_raw_s_abs_error_s,nearest_raw_s_within_near_samples,normal_picker_s_sample,normal_picker_s_error_samples,normal_picker_s_abs_error_s
VAF.HE_20250105045501_HH_EV,VAF,2761,1,2758,0.2577972114086151,2758,0.2577972114086151,3,0.03,True,2758,3,0.03
PVF.HE_20251018035815_CH_EV,PVF,2406,1,2410,0.47412073612213135,2410,0.47412073612213135,-4,0.04,True,2410,-4,0.04
OBF3.HE_20250605030253_HH_EV,OBF3,4991,2,5998,0.15889766812324524,4783,0.11230948567390442,208,2.08,False,,,
RNF.FN_20250915101701_BH_EV,RNF,5359,2,5360,0.293948233127594,5360,0.293948233127594,-1,0.01,True,5360,-1,0.01
RNF.FN_20250412203602_BH_EV,RNF,3102,1,3046,0.17054226994514465,3046,0.17054226994514465,56,0.56,False,3046,,
KJNF.HE_20250703171902_CH_EV,KJNF,2548,1,2534,0.4163444936275482,2534,0.4163444936275482,14,0.14,True,2534,14,0.14
VJF.HE_20250629201534_HH_EV,VJF,1624,1,1675,0.4863812327384949,1675,0.4863812327384949,-51,0.51,False,1675,,
PVF.HE_20250824012004_CH_EV,PVF,3323,1,3383,0.3260558843612671,3383,0.3260558843612671,-60,0.6,False,3383,,
KLF.FN_20250804051143_BH_EV,KLF,2801,1,2799,0.19879665970802307,2799,0.19879665970802307,2,0.02,True,,,
KY17.HE_20250813151828_CH_EV,KY17,671,1,669,0.48813575506210327,669,0.48813575506210327,2,0.02,True,669,2,0.02
KPF.HE_20250326050654_HH_EV,KPF,4008,1,4077,0.34556761384010315,4077,0.34556761384010315,-69,0.69,False,4077,,
LOVF.HE_20250920145041_CH_EV,LOVF,5224,1,5215,0.45200976729393005,5215,0.45200976729393005,9,0.09,True,5215,9,0.09
